feature,importance
YEARS_BEGINEXPLUATATION_MODE,0.007006955
FLOORSMAX_MEDI,0.0067954785
PHONE_TO_EMPLOY_RATIO,0.0067814174
INST_PAYMENT_RATIO_MEAN,0.00662932
YEARS_BEGINEXPLUATATION_AVG,0.006471395
NONLIVINGAPARTMENTS_MODE,0.0063505853
POS_DPD_MEAN,0.0061436854
APARTMENTS_AVG,0.0060320445
BB_DPD_RATIO_MEAN,0.0059035653
ENTRANCES_AVG,0.005853606
CC_LIMIT_MEAN,0.0056310827
LIVE_CITY_NOT_WORK_CITY,0.005596695
BB_MEAN_STATUS,0.0055589257
NAME_FAMILY_STATUS_Widow,0.0055040903
CC_PAYMENT_RATIO_MEAN,0.0054941564
CC_MONTHS_BALANCE_MIN,0.0051641488
YEARS_BEGINEXPLUATATION_MEDI,0.005137635
YEARS_BUILD_MODE,0.005110611
ELEVATORS_MODE,0.0048328154
NAME_HOUSING_TYPE_With parents,0.0047637615
BASEMENTAREA_AVG,0.0047051036
PREV_CREDIT_TO_GOODS_MEAN,0.004626076
"NAME_TYPE_SUITE_Spouse, partner",0.0044655357
YEARS_BUILD_MEDI,0.0043822913
NAME_HOUSING_TYPE_Municipal apartment,0.0040346473
FONDKAPREMONT_MODE_reg oper spec account,0.0039587133
FLOORSMIN_MEDI,0.003906542
APARTMENTS_MODE,0.0037484057
BUREAU_DEBT_CREDIT_RATIO,0.0036126534
NAME_HOUSING_TYPE_Office apartment,0.0035972847
NONLIVINGAPARTMENTS_MEDI,0.0033964387
LIVINGAPARTMENTS_AVG,0.0033043188
AMT_REQ_CREDIT_BUREAU_MON,0.003289597
COMMONAREA_MODE,0.0032210192
POS_DPD_RATIO,0.0030097454
COMMONAREA_AVG,0.0029346717
NONLIVINGAPARTMENTS_AVG,0.0028716086
APARTMENTS_MEDI,0.0027816258
PREV_CANCELLED_COUNT,0.0027452721
LIVINGAPARTMENTS_MEDI,0.0027069675
NONLIVINGAREA_MEDI,0.0025213715
COMMONAREA_MEDI,0.0025002365
LIVINGAREA_MODE,0.0024778338
LIVINGAPARTMENTS_MODE,0.0024376696
NONLIVINGAREA_AVG,0.002359901
BASEMENTAREA_MEDI,0.0023128751
LIVINGAREA_MEDI,0.002284009
REG_REGION_NOT_WORK_REGION,0.0022639607
WALLSMATERIAL_MODE_Mixed,0.0022577269
LIVINGAREA_AVG,0.0022400632
LANDAREA_MEDI,0.0022345851
YEARS_BUILD_AVG,0.0022185554
POS_DPD_MAX,0.0021900202
CC_LIMIT_MAX,0.0021240902
BUREAU_TOTAL_OVERDUE,0.0019734784
WALLSMATERIAL_MODE_Monolithic,0.0018205179
FLOORSMIN_MODE,0.0017451165
FLAG_OWN_REALTY,0.0016654617
NAME_FAMILY_STATUS_Separated,0.0016278393
BB_DPD_RATIO_MAX,0.0015755147
NAME_HOUSING_TYPE_Rented apartment,0.0015648346
